Time,current,case1,case2,case1_video,case2_video
0,910.5,910.5,910.5,910.5,910.5
1,2152.65,2152.65,2152.65,2152.65,2152.65
2,3392.8,3392.8,3392.8,3392.8,3392.8
3,4423.53,4423.53,4423.53,4423.53,4423.53
4,4501.48,4501.48,4501.48,4501.48,4501.48
5,5533.39,5533.39,5533.39,5533.39,5533.39
6,6565.77,6565.77,6565.77,6565.77,6565.77
7,6643.19,6643.19,6643.19,6643.19,6643.19
8,6933.31,6933.31,6933.31,6933.31,6933.31
9,7966.69,7966.69,7966.69,7966.69,7966.69
10,8529.28,9001.24,8529.28,8529.28,8529.28
11,9667.76,10139.6,9667.76,9561.42,9561.42
12,9847.62,10319.3,9847.62,9847.71,9847.71
13,9924.05,10395.6,9924.05,9924.14,9924.14
14,10000.5,10471.9,10000.5,10000.6,10000.6
15,10076.9,10548.2,11035.9,10077,10289.7
16,10153.3,10624.5,11112.1,10153.4,10365.9
17,10229.8,11660.5,11188.2,10229.9,10442.2
18,10306.2,11736.6,12224.9,10306.3,10518.4
19,10382.6,11812.6,12300.8,10382.7,10594.7
20,10668.8,12098.4,12586.4,10668.9,10880.6
21,11811.1,13241.8,13730.4,11704.8,11916.4
22,11887,13317.3,13805.8,11780.8,11992.3
23,11962.9,13392.8,13881.2,11856.8,12068.1
24,12038.8,13468.4,14447.2,11932.8,12143.9
25,12114.7,13543.9,14522.5,12008.8,12432.5
26,12679.1,14109.4,15561.1,12786,12996.6
27,12754.9,14184.8,15636.1,12861.7,13072.1
28,12830.7,14260.2,15711.1,12937.4,13147.6
29,12906.5,14335.6,16750.9,13013.1,13223.2
30,13192,14620.7,17035.3,13298.5,13508.4
31,13267.6,14696,17109.9,13374.1,13583.8
